순위,팀명,경기,승,패,무,승률,게임차,최근10경기,연속,홈,방문
1,SSG,105,71,31,3,0.700,0,7승0무3패,2승,39-0-13,32-3-18
2,LG,101,61,39,1,0.610,9,7승0무3패,1승,27-0-23,34-1-16
3,키움,107,61,44,2,0.580,12,3승0무7패,1패,28-1-24,33-1-20
4,KT,103,56,45,2,0.550,15,6승0무4패,4승,28-1-24,28-1-21
5,KIA,102,50,51,1,0.500,21,3승0무7패,1패,24-0-27,26-1-24
6,롯데,105,45,56,4,0.450,26,5승0무5패,1승,18-3-32,27-1-24
7,두산,101,44,55,2,0.440,26,4승0무6패,2패,20-1-32,24-1-23
8,NC,100,43,54,3,0.440,26,6승1무3패,1승,22-3-24,21-0-30
9,삼성,104,42,60,2,0.410,29,4승0무6패,3패,18-2-31,24-0-29
10,한화,102,31,69,2,0.310,39,4승0무6패,3패,19-0-31,12-2-38
