ranking,player,team,average,G,PA,AB,R,H,2B,3B,HR,TB,RBI,SAC,SF,BB,IBB,HBP,SO,GDP,SLG,OBP,OPS,MH,RISP,PH_BA
1,김태근,두산,0.5,2,6,4,0,2,1,0,0,3,2,0,0,1,0,1,1,0,0.75,0.667,1.417,0,1,0
2,강현구,두산,0.333,3,5,3,0,1,0,0,0,1,0,0,0,1,0,1,0,0,0.333,0.6,0.933,0,0,0
2,송승환,두산,0.333,7,21,21,3,7,1,0,1,11,4,0,0,0,0,0,4,0,0.524,0.333,0.857,1,0.222,1
2,전민재,두산,0.333,8,3,3,4,1,0,0,0,1,0,0,0,0,0,0,2,0,0.333,0.333,0.666,0,0,0
5,페르난데스,두산,0.316,99,431,393,47,124,19,0,6,161,60,0,4,32,0,2,39,25,0.41,0.367,0.777,36,0.33,0
6,안권수,두산,0.301,75,264,236,43,71,7,2,0,82,20,1,0,26,0,1,39,6,0.347,0.373,0.72,19,0.327,0
7,허경민,두산,0.29,82,341,297,46,86,17,0,5,118,49,2,5,27,2,10,27,9,0.397,0.363,0.76,22,0.333,0
8,김인태,두산,0.288,54,193,163,22,47,5,0,4,64,21,0,0,28,1,2,25,1,0.393,0.399,0.792,10,0.31,0.429
9,조수행,두산,0.253,82,111,99,28,25,3,1,1,33,7,1,2,8,0,1,25,4,0.333,0.309,0.642,2,0.25,0
10,박세혁,두산,0.249,95,315,273,28,68,13,1,3,92,35,7,4,25,0,6,49,4,0.337,0.321,0.658,15,0.302,0
11,양석환,두산,0.249,64,269,245,33,61,9,1,10,102,30,0,2,19,2,3,62,1,0.416,0.309,0.725,16,0.246,0
12,양찬열,두산,0.245,21,62,53,13,13,3,0,2,22,9,1,0,8,0,0,14,2,0.415,0.344,0.759,3,0.2,0
13,박유연,두산,0.235,13,19,17,0,4,0,0,0,4,2,0,0,1,0,1,5,1,0.235,0.316,0.551,0,0.25,0.333
14,박계범,두산,0.234,64,143,124,17,29,8,0,2,43,12,4,2,12,1,1,35,1,0.347,0.302,0.649,3,0.192,0
15,김재환,두산,0.234,89,373,321,46,75,20,1,16,145,51,0,1,48,4,3,87,2,0.452,0.338,0.79,14,0.28,0
16,안재석,두산,0.233,87,228,202,21,47,9,0,3,65,17,3,2,18,1,3,60,5,0.322,0.302,0.624,8,0.236,0.5
17,강승호,두산,0.226,91,310,279,33,63,12,0,4,87,42,6,5,19,0,1,62,4,0.312,0.273,0.585,15,0.304,0.25
18,김재호,두산,0.219,76,212,178,21,39,5,0,0,44,17,6,4,23,0,1,29,4,0.247,0.306,0.553,6,0.163,0.2
19,정수빈,두산,0.214,84,281,252,36,54,7,3,1,70,24,4,2,23,0,0,38,0,0.278,0.278,0.556,13,0.238,0
20,김민혁,두산,0.2,11,17,15,3,3,0,0,1,6,2,0,0,1,0,1,6,1,0.4,0.294,0.694,1,0.4,0.25
21,오재원,두산,0.179,17,30,28,2,5,2,0,0,7,4,0,1,1,0,0,9,1,0.25,0.2,0.45,0,0.111,0
22,서예일,두산,0.176,23,18,17,1,3,1,0,0,4,2,1,0,0,0,0,4,1,0.235,0.176,0.411,0,0.25,0
23,강진성,두산,0.176,35,88,74,7,13,2,0,1,18,8,1,0,11,1,2,17,2,0.243,0.299,0.542,2,0.227,0.375
24,안승한,두산,0.167,10,13,12,1,2,1,0,0,3,5,1,0,0,0,0,3,0,0.25,0.167,0.417,0,0.5,0
25,김대한,두산,0.16,13,28,25,2,4,1,0,1,8,3,1,0,0,0,2,9,0,0.32,0.222,0.542,0,0.429,0
26,장승현,두산,0.125,35,56,48,4,6,1,0,0,7,4,3,1,2,0,2,15,1,0.146,0.189,0.335,0,0.214,0
27,신성현,두산,0.087,16,25,23,2,2,0,0,1,5,2,0,0,2,0,0,5,2,0.217,0.16,0.377,0,0.125,0
28,홍성호,두산,0.083,9,13,12,3,1,0,0,0,1,0,0,0,1,0,0,4,1,0.083,0.154,0.237,0,0,0
29,권민석,두산,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29,김강률,두산,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,이대호,롯데,0.324,103,423,392,37,127,19,0,13,185,58,0,4,26,4,1,46,14,0.472,0.364,0.836,39,0.278,0
2,한동희,롯데,0.322,92,360,329,35,106,23,0,12,165,50,0,2,24,2,5,41,11,0.502,0.375,0.877,32,0.284,0.5
3,전준우,롯데,0.317,82,352,322,51,102,25,1,8,153,55,0,8,21,1,1,56,11,0.475,0.352,0.827,33,0.317,0
4,렉스,롯데,0.314,18,76,70,10,22,3,1,2,33,4,0,0,5,2,1,19,2,0.471,0.368,0.839,7,0.143,0
5,안치홍,롯데,0.287,95,419,369,58,106,22,3,10,164,44,4,4,39,4,3,40,9,0.444,0.357,0.801,29,0.225,1
6,황성빈,롯데,0.283,70,248,223,43,63,8,3,1,80,11,5,2,16,0,2,40,2,0.359,0.333,0.692,13,0.297,0
7,이호연,롯데,0.24,60,164,154,12,37,8,1,1,50,13,2,0,7,1,1,26,5,0.325,0.278,0.603,9,0.281,0.111
8,김민수,롯데,0.239,41,103,92,6,22,2,0,0,24,8,1,0,7,0,3,30,1,0.261,0.314,0.575,4,0.375,0.4
9,고승민,롯데,0.235,56,149,132,15,31,8,0,3,48,16,1,1,15,0,0,28,3,0.364,0.311,0.675,6,0.3,0.375
10,피터스,롯데,0.228,85,354,316,32,72,16,0,13,127,48,0,4,26,1,8,77,5,0.402,0.299,0.701,18,0.215,0
11,정훈,롯데,0.227,63,246,211,26,48,3,0,3,60,27,5,5,25,0,0,45,6,0.284,0.303,0.587,11,0.25,0.429
12,지시완,롯데,0.221,47,129,113,9,25,5,0,2,36,11,1,0,14,1,1,37,7,0.319,0.313,0.632,5,0.267,0.25
13,추재현,롯데,0.212,25,59,52,9,11,3,0,0,14,3,0,0,6,0,1,15,1,0.269,0.305,0.574,1,0.2,0.333
14,장두성,롯데,0.2,33,23,20,3,4,0,0,0,4,0,0,0,3,0,0,10,0,0.2,0.304,0.504,0,0,0
15,이학주,롯데,0.197,72,232,208,23,41,10,1,1,56,13,9,1,13,0,1,47,3,0.269,0.247,0.516,9,0.204,0
16,박승욱,롯데,0.194,63,127,108,15,21,3,2,1,31,9,7,0,12,0,0,41,1,0.287,0.275,0.562,6,0.259,0
17,정보근,롯데,0.188,66,167,149,6,28,2,0,1,33,13,8,1,8,0,1,36,4,0.221,0.233,0.454,5,0.216,0
18,조세진,롯데,0.176,35,87,85,5,15,3,0,0,18,6,1,0,1,0,0,25,4,0.212,0.186,0.398,4,0.176,0
19,강태율,롯데,0.167,6,17,12,0,2,1,0,0,3,3,2,0,2,0,1,2,0,0.25,0.333,0.583,0,1,0
20,신용수,롯데,0.158,25,42,38,4,6,0,0,2,12,3,0,0,3,0,1,11,0,0.316,0.238,0.554,1,0.125,0.333
20,한태양,롯데,0.158,33,68,57,12,9,1,0,0,10,3,4,0,5,0,2,20,1,0.175,0.25,0.425,1,0.3,0
22,안중열,롯데,0.155,33,84,71,8,11,0,0,2,17,2,0,0,11,0,2,19,2,0.239,0.286,0.525,2,0,0.167
23,윤동희,롯데,0.154,4,13,13,1,2,1,0,0,3,1,0,0,0,0,0,2,1,0.231,0.154,0.385,1,0,0
24,김민수,롯데,0.143,5,7,7,0,1,0,0,0,1,1,0,0,0,0,0,4,0,0.143,0.143,0.286,0,0.333,0
25,배성근,롯데,0.128,22,41,39,3,5,1,0,0,6,0,0,0,2,0,0,12,3,0.154,0.171,0.325,1,0.167,0
26,강윤구,롯데,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
