team,average,average_score,homerun,homerun_score,ops,ops_score,real_rank,score,ex_rank
SSG,0.21874,1.326719702,87,6.505914193,0.60143,2.748165498,1,10.58079939,6
LG,0.25435,3.980159107,94,8.132392741,0.70165,8.244496494,2,20.35704834,2
Å°¿ò,0.21912,6.191358611,71,3.252957096,0.60952,4.58027583,3,14.02459154,4
KT,0.24242,3.537919206,87,15.45154621,0.66754,7.328441328,4,26.31790674,1
KIA,0.26868,4.422399008,79,5.692674919,0.72274,9.16055166,5,19.27562559,3
·Ôµ¥,0.21868,0.884479802,75,4.879435645,0.58944,1.832110332,6,7.596025778,8
NC,0.2146,0.442239901,66,2.439717822,0.60616,3.664220664,7,6.546178387,9
µÎ»ê,0.23707,3.095679305,62,0.813239274,0.64354,6.412386162,8,10.32130474,7
»ï¼º,0.22668,2.653439405,64,1.626478548,0.58832,0.916055166,9,5.195973119,10
ÇÑÈ­,0.22438,2.211199504,74,4.066196371,0.61054,5.496330996,10,11.77372687,5
