순위,선수명,팀명,ERA,G,W,L,SV,HLD,WPCT,IP,H,HR,BB,HBP,SO,R,ER,WHIP,GS,Wgs,Wgr,GF,SVO,TS,GDP,GO,AO,GO/AO
1,정철원,두산,3.02,41,3,2,1,13,0.6,50 2/3,39,3,16,2,28,17,17,1.09,0,0,3,5,14,0,5,61,51,1.2
2,스탁,두산,3.03,22,9,6,0,0,0.6,130 2/3,119,5,66,6,109,57,44,1.42,22,9,0,0,0,0,22,154,99,1.56
3,박정수,두산,3.2,13,1,1,0,0,0.5,19 2/3,17,1,9,1,18,7,7,1.32,0,0,1,2,1,0,2,20,18,1.11
4,최원준,두산,3.42,20,7,8,0,0,0.467,110 2/3,114,13,27,5,76,52,42,1.27,20,7,0,0,0,0,7,89,160,0.56
5,브랜든,두산,3.6,2,1,0,0,0,1.0,10,10,1,6,0,5,5,4,1.6,2,1,0,0,0,0,0,20,5,4.0
5,장원준,두산,3.6,21,0,1,0,6,0.0,15,17,0,7,1,7,7,6,1.6,0,0,0,3,4,0,4,19,14,1.36
7,홍건희,두산,3.67,44,1,7,12,9,0.125,49,47,4,20,2,45,26,20,1.37,0,0,1,24,24,1,1,62,34,1.82
8,김명신,두산,3.7,47,1,2,0,5,0.333,58 1/3,50,5,21,2,44,24,24,1.22,0,0,1,11,5,0,5,64,58,1.1
9,임창민,두산,3.8,26,0,0,2,6,-,23 2/3,22,2,7,3,18,11,10,1.23,0,0,0,8,9,0,1,29,25,1.16
10,김강률,두산,3.86,20,3,3,9,0,0.5,18 2/3,22,2,5,1,14,9,8,1.45,0,0,3,14,13,0,2,19,21,0.9
11,곽빈,두산,4.11,19,3,7,0,0,0.3,96 1/3,91,13,48,9,95,51,44,1.44,19,3,0,0,0,0,5,71,111,0.64
12,최승용,두산,4.59,38,3,4,0,5,0.429,64 2/3,69,3,28,2,42,34,33,1.5,9,1,2,2,4,0,5,60,82,0.73
13,이형범,두산,4.79,21,0,0,0,0,-,20 2/3,20,0,9,4,9,13,11,1.4,0,0,0,11,1,0,3,34,19,1.79
14,이영하,두산,4.93,21,6,8,0,0,0.429,98 2/3,109,5,57,6,83,65,54,1.68,20,6,0,0,0,0,10,100,100,1.0
15,김지용,두산,5.4,10,1,0,0,0,1.0,11 2/3,10,1,4,0,8,7,7,1.2,0,0,1,5,1,0,0,9,17,0.53
15,박치국,두산,5.4,15,1,2,0,3,0.333,11 2/3,6,0,9,3,12,8,7,1.29,0,0,1,2,2,0,1,9,11,0.82
17,권휘,두산,5.79,10,0,0,0,1,-,9 1/3,8,1,5,1,5,6,6,1.39,0,0,0,1,2,0,2,10,11,0.91
18,김동주,두산,5.87,9,0,0,0,0,-,15 1/3,20,3,7,0,11,10,10,1.76,0,0,0,4,0,0,1,17,20,0.85
19,이현승,두산,6.23,23,1,0,0,2,1.0,8 2/3,13,2,4,1,9,6,6,1.96,0,0,1,0,4,0,0,7,9,0.78
20,이승진,두산,6.97,13,1,0,0,0,1.0,10 1/3,13,3,3,0,8,8,8,1.55,0,0,1,4,2,0,1,10,12,0.83
21,박신지,두산,7.02,22,1,3,0,0,0.25,42 1/3,56,2,28,5,29,34,33,1.98,6,1,0,0,1,0,3,44,51,0.86
22,미란다,두산,8.22,3,0,0,0,0,-,7 2/3,2,0,18,1,8,7,7,2.61,3,0,0,0,0,0,1,4,9,0.44
23,윤명준,두산,8.46,20,1,1,0,0,0.5,22 1/3,33,8,8,1,15,24,21,1.84,0,0,1,5,0,0,0,24,25,0.96
1,스트레일리,롯데,0.0,1,0,0,0,0,-,5,4,0,1,1,4,0,0,1.0,1,0,0,0,0,0,0,6,5,1.2
2,김도규,롯데,1.78,36,2,3,3,3,0.4,35 1/3,27,1,11,3,31,12,7,1.08,0,0,2,10,6,1,6,38,33,1.15
3,반즈,롯데,2.94,24,10,9,0,0,0.526,150,133,5,32,14,125,60,49,1.1,24,10,0,0,0,0,12,168,143,1.17
4,구승민,롯데,3.32,53,0,3,0,17,0.0,43 1/3,38,2,26,0,56,16,16,1.48,0,0,0,4,19,0,2,34,35,0.97
5,박세웅,롯데,3.72,20,8,7,0,0,0.533,121,128,5,22,5,118,54,50,1.24,20,8,0,0,0,0,13,153,73,2.1
6,이민석,롯데,4.02,7,0,0,0,1,-,15 2/3,21,3,8,1,10,10,7,1.85,1,0,0,0,1,0,1,19,17,1.12
7,김유영,롯데,4.08,52,5,1,0,12,0.833,39 2/3,52,2,21,3,33,20,18,1.84,0,0,5,5,16,0,4,55,26,2.12
8,정성종,롯데,4.15,5,0,0,0,0,-,4 1/3,4,0,4,0,5,4,2,1.85,0,0,0,4,0,0,1,7,1,7.0
9,이인복,롯데,4.21,21,8,8,0,1,0.5,104 2/3,119,5,27,3,58,53,49,1.39,19,7,1,0,0,0,12,143,94,1.52
10,김대우,롯데,4.5,9,0,0,0,1,-,10,6,0,7,0,8,5,5,1.3,0,0,0,3,1,0,0,7,13,0.54
10,조무근,롯데,4.5,2,0,0,0,0,-,2,2,0,1,0,1,1,1,1.5,0,0,0,2,0,0,0,3,2,1.5
12,나균안,롯데,4.6,32,2,5,0,2,0.286,76 1/3,86,3,24,1,84,40,39,1.44,6,2,0,1,5,0,7,74,58,1.28
13,최준용,롯데,4.65,48,2,4,14,5,0.333,50 1/3,46,7,16,5,61,27,26,1.23,0,0,2,29,23,2,0,31,56,0.55
14,김원중,롯데,4.97,29,2,2,5,2,0.5,29,29,3,14,0,38,16,16,1.48,0,0,2,13,11,0,2,23,22,1.05
15,서준원,롯데,5.13,18,2,1,0,0,0.667,33 1/3,36,2,13,3,22,19,19,1.47,1,1,1,4,2,0,4,48,24,2.0
16,스파크맨,롯데,5.31,19,2,4,0,0,0.333,84 2/3,97,6,43,4,89,55,50,1.65,19,2,0,0,0,0,9,83,66,1.26
17,김창훈,롯데,5.4,1,0,0,0,0,-,1 2/3,3,0,0,0,2,1,1,1.8,0,0,0,0,0,0,0,1,2,0.5
18,진명호,롯데,6.06,16,0,0,0,0,-,16 1/3,23,1,9,2,11,12,11,1.96,0,0,0,4,0,0,2,16,17,0.94
19,김진욱,롯데,6.31,12,2,5,0,0,0.286,45 2/3,41,2,34,7,50,35,32,1.64,12,2,0,0,0,0,0,45,39,1.15
20,나원탁,롯데,7.2,6,0,0,0,0,-,5,7,1,3,2,5,5,4,2.0,0,0,0,5,0,0,0,2,8,0.25
